,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
33352,38,196.0,1199 SEIU- NYS PA FUND,4400.0,1000.0,2700.0,5400.0,2
33360,38,793.0,VOICE OF TEACHERS FOR EDUCATION,4400.0,4400.0,4400.0,8800.0,2
33543,40,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,250.0,375.0,750.0,2
33546,40,164.0,LOCAL 328J SEIU,500.0,500.0,500.0,500.0,1
33548,40,188.0,LAWPAC OF NEW YORK,2000.0,1000.0,1333.3333333333333,4000.0,3
33550,40,196.0,1199 SEIU-NYS POLITICAL ACTION FUND,4400.0,1000.0,2850.0,11400.0,4
33558,40,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,2000.0,2
33571,40,793.0,VOICE OF TEACHERS FOR EDUCATION,500.0,325.0,441.66666666666674,1325.0,3
33676,42,142.0,NEW YORK STATE LABORERS PAC--STATE FUND,1000.0,1000.0,1000.0,2000.0,2
33691,42,164.0,32BJ UNITED ADF,500.0,500.0,500.0,500.0,1
33692,42,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3700.0,1000.0,2350.0,4700.0,2
33694,42,188.0,LAWPAC OF NY,4700.0,1000.0,1940.0,9700.0,5
33697,42,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,2200.0,2000.0,2100.0,4200.0,2
33716,42,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,1500.0,3
33732,42,793.0,VOTE/COPE,4500.0,200.0,1820.0,9100.0,5
33735,42,876.0,NEW YORK HOTEL TRADES COUNCIL - NON FEDERAL COPE,3700.0,1000.0,2350.0,4700.0,2
33979,43,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,1100.0,1000.0,1033.3333333333333,3100.0,3
33983,43,142.0,NYS LABORERES PAC-STATE FUND,1000.0,1000.0,1000.0,1000.0,1
33989,43,165.0,LOCAL 6 COMMITTEE ON POLITAICAL EDU,4700.0,4700.0,4700.0,4700.0,1
33991,43,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,3000.0,3
33992,43,196.0,1199 SEIU NYS PAC,2200.0,1000.0,1600.0,3200.0,2
34001,43,793.0,VOTE/COPE,4700.0,1000.0,3366.666666666666,10100.0,3
34003,43,876.0,NY HOTEL TRADES COUNCIL,4700.0,4700.0,4700.0,4700.0,1
34217,44,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,2200.0,400.0,1300.0,2600.0,2
34223,44,153.0,TRANSWORKER UNION LOCAL 100,1000.0,1000.0,1000.0,1000.0,1
34226,44,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4400.0,4400.0,4400.0,8800.0,2
34227,44,188.0,LAWPAC OF NEW YORK,4400.0,1000.0,3266.666666666666,9800.0,3
34228,44,196.0,1099 SEIU NYS PAC,4400.0,4400.0,4400.0,4400.0,1
34234,44,793.0,VOICE OF TEACHERS FOR EDUCATION (VOTE/COPE) OF NYS,2000.0,2000.0,2000.0,2000.0,1
34238,44,876.0,NY HOTEL TRADES COUNCIL,4400.0,4400.0,4400.0,8800.0,2
35548,45,142.0,NYS LABORERS POLITICAL ACTION COMMITEE-STATE FUND,2000.0,2000.0,2000.0,2000.0,1
35550,45,188.0,LAWPAC OF NEW YORK,3400.0,1000.0,1960.0,9800.0,5
35555,45,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,1000.0,1
35560,45,793.0,VOTE/COPE (VOICE OF TEACHERS FOR EDUCATION),1500.0,1500.0,1500.0,1500.0,1
35563,45,948.0,N.Y.C. CAMPAIGN FINANCE BOARD,537789.0,537789.0,537789.0,537789.0,1
37325,46,153.0,TRANSPORT WORKERS UNION LOCAL 100,1500.0,500.0,1000.0,2000.0,2
37331,46,188.0,LAWPAC OF NEW YORK,2400.0,400.0,1633.333333333333,9800.0,6
37333,46,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,2200.0,2000.0,2100.0,4200.0,2
37347,46,523.0,RPAC OF NEW YORK STATE,1000.0,500.0,916.6666666666665,5500.0,6
37372,46,793.0,VOTE COPE,1000.0,500.0,750.0,3000.0,4
37475,47,117.0,MASON TENDERS' DISTRICT COUNCIL OF GNY,1000.0,1000.0,1000.0,1000.0,1
37481,47,142.0,NEW YORK STATE LABORERS PAC,1900.0,1500.0,1700.0,3400.0,2
37484,47,153.0,TRANSPORT WORKERS UNION,2700.0,1000.0,2050.0,8200.0,4
37487,47,164.0,32BJ UNITED ADF,2500.0,500.0,1214.2857142857142,8500.0,7
37488,47,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,1000.0,1000.0,1000.0,1000.0,1
37493,47,188.0,TRIAL LAWYERS LAW PAC,1000.0,400.0,914.2857142857144,6400.0,7
37495,47,196.0,1199 SEIU NYS POLITICAL ACTION  FUND,4400.0,2200.0,3300.0,6600.0,2
37515,47,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,1000.0,2
37530,47,793.0,NYSUT/UUP,3200.0,400.0,1235.0,12350.0,10
37534,47,876.0,"NEW YORK HOTEL TRADES COUNCIL, NON FEDERAL COPE",1000.0,1000.0,1000.0,1000.0,1
38143,48,117.0,MASON TENDERS DISTRICT COUNCIL,4400.0,4400.0,4400.0,4400.0,1
38145,48,153.0,TRANSPORT WORKERS UNION LOCAL 100,5000.0,2700.0,3850.0,7700.0,2
38148,48,164.0,SEIU 32BJ ADF,3000.0,1000.0,2000.0,4000.0,2
38151,48,188.0,LAWPAC OF NEW YORK,2000.0,2000.0,2000.0,2000.0,1
38154,48,196.0,1199 SEIU NYS POLITICAL ACTION FUND,4700.0,4100.0,4340.0,21700.0,5
38164,48,793.0,VOICE OF TEACHERS FOR EDUCATION,1000.0,500.0,750.0,1500.0,2
